PAIS,categoria,tasa_part,tasa_seg,tasa_reg,tasa_temp,variable_interes
Peru,Baja,0.08302460796019917,0.6045364406230471,0.682256142611492,0.2241445870736989,CALIF
Peru,Media,0.04662653613372287,0.4065415222295831,0.4076179862526001,0.3690991892345412,CALIF
Polonia,Alta,0.005825326249557907,NA,NA,0.06554562428906863,CALIF
Polonia,Baja,0.046264416548492684,NA,NA,0.27239478910064874,CALIF
Polonia,Media,0.010557371277188442,NA,NA,0.1585872780047393,CALIF
Portugal,Alta,0.018663135779408896,NA,NA,0.14253939650453237,CALIF
Portugal,Baja,0.14044015180791874,NA,NA,0.2727570878598,CALIF
Portugal,Media,0.024965827053525028,NA,NA,0.18277604114867158,CALIF
Reino Unido,Alta,0.011892755514094069,NA,NA,0.00823036760990306,CALIF
Reino Unido,Baja,0.0900631414132112,NA,NA,0.03389678482583696,CALIF
Reino Unido,Media,0.04399534871123197,NA,NA,0.016614981318963176,CALIF
Rumanía,Alta,7.927146017196187e-4,NA,NA,5.705833956493064e-4,CALIF
Rumanía,Baja,0.027845758000823898,NA,NA,0.03380332439360566,CALIF
Rumanía,Media,0.001089117997514532,NA,NA,0.0083693486880669285,CALIF
Suecia,Alta,0.0192693134425072,NA,NA,0.0500420003824771,CALIF
Suecia,Baja,0.16337023795031086,NA,NA,0.19773713187271102,CALIF
Suecia,Media,0.08377355615683034,NA,NA,0.10585489411360442,CALIF
Uruguay,Alta,0.06571825725983918,0.022585607959206045,NA,NA,CALIF
Uruguay,Baja,0.1418735238724887,0.27695634311414796,NA,NA,CALIF
Uruguay,Media,0.05321798591635857,0.10618061699613167,NA,NA,CALIF
Uruguay,Ns/Nc,0.014468402875011667,0,NA,NA,CALIF
Alemania,Total,0.03103273359549923,NA,NA,0.01886510881451591,Total
Argentina,Total,0.13050650351180204,0.35092447117453057,0.35092447117453057,0.11917995371804631,Total
Austria,Total,0.030418620100187022,NA,NA,0.009101497501084839,Total
Bolivia,Total,0.04607547045970135,0.4596319485407437,0.49240451730229534,0.20159518093131476,Total
Brasil,Total,0.05873134737844516,0.22991694036333737,0.2584743985128455,NA,Total
Bulgaria,Total,0.008673719009898788,NA,NA,0.025580096406637644,Total
Chile,Total,0.057311656498814444,0.16771185589720888,0.12643564374283256,0.2660251237543166,Total
China,Total,NA,0.38490412718006645,0.275720634241647,0.5193494932856194,Total
Colombia,Total,0.036429760225746746,0.3107809568693147,0.31228695755173724,0.2840533427930308,Total
Costa Rica,Total,0.08437943992566511,0.23713955572973897,0.23713955572973897,0.04126456335912436,Total
Dinamarca,Total,0.031127665641465425,NA,NA,0.04161990524419066,Total
Ecuador,Total,0.344776512430808,0.8488484817288328,NA,NA,Total
El Salvador,Total,0.30021415467020934,0.4221531630908571,0.4740940661594077,0.5198977670997994,Total
España,Total,0.09380565405755646,NA,NA,0.2123567062424256,Total
Estados Unidos,Total,0.08196284187200452,NA,NA,NA,Total
Francia,Total,0.07510521201012657,NA,NA,0.089022128473702,Total
Grecia,Total,0.08179119320854764,NA,NA,0.08118056896886718,Total
Guatemala,Total,0.02157326021552465,0.5773862422147699,0.5631973424457402,0.10189031505250876,Total
Italia,Total,0.13267425006760342,NA,NA,0.1363965974933153,Total
México,Total,0.01901086785586004,0.4909640919722877,0.4123634536847376,0.5139384420806822,Total
Noruega,Total,0.037178707313721256,NA,NA,0.03805806329286131,Total
Paraguay,Total,0.09237922814060161,0.5605649479963383,0.43228185590353835,0.14974693593397678,Total
Países Bajos,Total,0.03433977238992478,NA,NA,0.0583872623029786,Total
Peru,Total,0.06220681517167976,0.390160984714252,0.4039213789190811,0.3499327316582557,Total
Polonia,Total,0.011123201287741826,NA,NA,0.12695478000428165,Total
Portugal,Total,0.03570209721862443,NA,NA,0.17905890567774427,Total
Reino Unido,Total,0.03236010453393191,NA,NA,0.014032154320422669,Total
Rumanía,Total,0.0033406278159152114,NA,NA,0.008222173429408175,Total
Suecia,Total,0.05277616663944882,NA,NA,0.08037831109581085,Total
Uruguay,Total,0.07393835338915658,0.12060201530351679,NA,NA,Total
