PAIS,categoria,casos_pond,variable_interes,particip.ocup
Reino Unido,Varon,17195248.12,SEXO,0.5300136391578436
Rumanía,Mujer,3747769.595,SEXO,0.43134634872821337
Rumanía,Varon,4940769.455,SEXO,0.5686536512717866
Suecia,Mujer,2432979.66,SEXO,0.47581110867206716
Suecia,Varon,2680351.2725,SEXO,0.5241888913279328
Uruguay,Mujer,699863,SEXO,0.4566773093308955
Uruguay,Varon,832648,SEXO,0.5433226906691045
Alemania,Priv,39094255.7225,SECTOR,0.9262664476447757
Alemania,Pub,2888930.4375,SECTOR,0.0684478904734824
Alemania,SD,223088.095,SECTOR,0.005285661881741948
Argentina,Priv,48039873,SECTOR,0.9967950795541684
Argentina,Pub,42542,SECTOR,8.827179096496244e-4
Argentina,SD,111917,SECTOR,0.0023222025361820556
Austria,Priv,4046977.4325,SECTOR,0.9330874578067523
Austria,Pub,282336.72,SECTOR,0.0650966941882735
Austria,SD,7875.6775,SECTOR,0.0018158480049742254
Bolivia,Priv,11625754.736585993,SECTOR,0.8661792627705553
Bolivia,Pub,1424882.5111427933,SECTOR,0.10616116639312119
Bolivia,SD,371243.4601975725,SECTOR,0.027659570836323467
Brasil,Priv,302216231.57825273,SECTOR,0.8090219428664562
Brasil,Pub,46347220.45138725,SECTOR,0.12406983615746814
Brasil,SD,24994069.17610933,SECTOR,0.06690822097607561
Bulgaria,Priv,2932064.99,SECTOR,0.9300283554348626
Bulgaria,Pub,208742.67,SECTOR,0.06621156173253248
Bulgaria,SD,11854.27,SECTOR,0.00376008283260489
Chile,Priv,6989759.803732187,SECTOR,0.8647002447746442
Chile,Pub,1055380.15206938,SECTOR,0.13056063462115214
Chile,SD,38308.43683053949,SECTOR,0.004739120604203625
China,Priv,85046348.82447559,SECTOR,0.8379247943175693
China,Pub,16450049.660474177,SECTOR,0.16207520568243067
Colombia,Priv,187563467.11465564,SECTOR,0.8916553163805203
Colombia,Pub,9330049.921602918,SECTOR,0.04435399250541398
Colombia,Resto,6503505.497142982,SECTOR,0.03091692289998392
Colombia,SD,6957207.031480673,SECTOR,0.033073768214081825
Costa Rica,Priv,1208371,SECTOR,0.765940197676136
Costa Rica,Pub,252777,SECTOR,0.16022568014954067
Costa Rica,SD,116483,SECTOR,0.0738341221743234
Dinamarca,Priv,2725073.3975,SECTOR,0.9498254156806594
Dinamarca,Pub,141951.1425,SECTOR,0.0494771271317315
Dinamarca,SD,2001.0225,SECTOR,6.974571876091467e-4
Ecuador,Priv,9115461.456392877,SECTOR,0.9382936482626679
Ecuador,Pub,152047.28084219544,SECTOR,0.015650880488314485
Ecuador,SD,447425.892527097,SECTOR,0.0460554712490176
El Salvador,Priv,1564550.6990451696,SECTOR,0.8613445700814315
El Salvador,Pub,175245.62852806321,SECTOR,0.09647937305916408
El Salvador,SD,76608.80620181022,SECTOR,0.04217605685940437
España,Priv,17333287.07,SECTOR,0.8968106084734367
España,Pub,1352850.05,SECTOR,0.06999539508081426
España,SD,641563.63,SECTOR,0.03319399644574898
Estados Unidos,Priv,158272257.57,SECTOR,0.9440167081605051
Estados Unidos,Pub,8492116.11,SECTOR,0.05065132461343329
Estados Unidos,SD,893948.68,SECTOR,0.005331967226061656
Francia,Priv,24110723.24,SECTOR,0.8894603026274177
Francia,Pub,2626053.21,SECTOR,0.09687681533365326
Francia,SD,370361.63,SECTOR,0.013662882038928988
Grecia,Priv,3461504.86,SECTOR,0.9042543794169652
Grecia,Pub,336688.3,SECTOR,0.08795361615452217
Grecia,SD,29827.9575,SECTOR,0.007792004428512665
Guatemala,Priv,6525740,SECTOR,0.879324895197032
Guatemala,Pub,565658,SECTOR,0.07622080584996686
Guatemala,SD,329909,SECTOR,0.04445429895300113
Italia,Priv,21209678.1,SECTOR,0.9136215854331498
Italia,Pub,1242500.425,SECTOR,0.05352156703358277
Italia,SD,762770.025,SECTOR,0.03285684753326752
México,Priv,36244766,SECTOR,0.8416404052420801
México,Pub,4907273,SECTOR,0.11395188028951596
México,SD,1912393,SECTOR,0.044407714468404
Noruega,Priv,2517669.3625,SECTOR,0.9348365726345109
Noruega,Pub,174661.87,SECTOR,0.06485375178836038
Noruega,SD,834.0074999999999,SECTOR,3.0967557712871714e-4
Paraguay,Priv,6917079,SECTOR,0.7936026740559483
Paraguay,Pub,1083334,SECTOR,0.12429188090749385
Paraguay,SD,715635,SECTOR,0.08210544503655785
Países Bajos,Priv,8270639.12,SECTOR,0.9401790860694493
Países Bajos,Pub,513689.16,SECTOR,0.05839449623726094
Países Bajos,SD,12548.02,SECTOR,0.0014264176932896055
Peru,Priv,47477719.53704643,SECTOR,0.8648610310788182
Peru,Pub,5927882.706068993,SECTOR,0.10798317188096476
Peru,SD,1490754.3169937134,SECTOR,0.027155797040217082
Polonia,Priv,15367783.5025,SECTOR,0.9322834264720654
Polonia,Pub,1088468.0575,SECTOR,0.06603169091277308
Polonia,SD,27773.6475,SECTOR,0.0016848826151614582
Portugal,Priv,4435268.255,SECTOR,0.9113563346992577
Portugal,Pub,322636.6975,SECTOR,0.06629520046315061
Portugal,SD,108762.5475,SECTOR,0.022348464837591637
Reino Unido,Priv,30312879.2,SECTOR,0.934341819671521
Reino Unido,Pub,2085644.2,SECTOR,0.0642863577609399
Reino Unido,SD,44506.08,SECTOR,0.0013718225675390903
Rumanía,Priv,8229894.255,SECTOR,0.9472126680491814
Rumanía,Pub,408111.115,SECTOR,0.04697120110198503
Rumanía,SD,50533.68,SECTOR,0.005816130848833556
Suecia,Priv,4750188.455,SECTOR,0.9289812292038659
Suecia,Pub,362789.64,SECTOR,0.07094976734131025
Suecia,SD,352.83750000000003,SECTOR,6.9003454823819e-5
Uruguay,Priv,1218075,SECTOR,0.7948230061643929
Uruguay,Pub,247431,SECTOR,0.16145463229953977
Uruguay,SD,67005,SECTOR,0.043722361536067275
Alemania,Primaria,5245260.9825,EDUC,0.12447330332635353
Alemania,Secundaria,24688491.605,EDUC,0.585873251011166
Alemania,Terciaria,12205893.765,EDUC,0.2896534456624804
Argentina,Primaria,15932948,EDUC,0.3305979632625679
Argentina,Secundaria,20438793,EDUC,0.42409121885951234
Argentina,Terciaria,11822591,EDUC,0.24531081787791975
Austria,Primaria,547537.565,EDUC,0.12624247184495493
Austria,Secundaria,3015251.845,EDUC,0.6952086404297412
Austria,Terciaria,774400.42,EDUC,0.17854888772530392
Bolivia,Primaria,5999289.094625504,EDUC,0.42302754052658925
Bolivia,Secundaria,2267918.349655443,EDUC,0.15991760130868501
Bolivia,Terciaria,5914585.748563008,EDUC,0.4170548581647257
Brasil,Primaria,147965512.544572,EDUC,0.39609833598578525
Brasil,Secundaria,148513702.7801891,EDUC,0.3975658214585651
Brasil,Terciaria,77078305.88098824,EDUC,0.20633584255564963
Bulgaria,Primaria,336191.4,EDUC,0.10693705541400171
Bulgaria,Secundaria,1793178.41,EDUC,0.5703810954038725
Bulgaria,Terciaria,1014455.3,EDUC,0.32268184918212584
Chile,Primaria,1006503.4270915197,EDUC,0.12387269221217394
Chile,Secundaria,3365324.6586404094,EDUC,0.414178247597658
Chile,Terciaria,3753477.0894195214,EDUC,0.46194906019016807
China,Primaria,12150637.484792344,EDUC,0.11981470460134278
China,Secundaria,70485031.14958316,EDUC,0.6950370461281258
China,Terciaria,18776236.734176148,EDUC,0.18514824927053145
Colombia,Primaria,67211939.90070036,EDUC,0.31954696194771626
Colombia,Secundaria,71045388.42943749,EDUC,0.3377723967878752
Colombia,Terciaria,72077764.48697825,EDUC,0.3426806412644086
Costa Rica,Primaria,725085,EDUC,0.462399527578739
Costa Rica,Secundaria,329226,EDUC,0.2099532425393408
Costa Rica,Terciaria,513781,EDUC,0.3276472298819202
Dinamarca,Primaria,536968.3225,EDUC,0.192238324148
Dinamarca,Secundaria,1341082.9625,EDUC,0.4801168531770048
Dinamarca,Terciaria,915191.555,EDUC,0.32764482267499523
